,"1,2-dimethylpropanol",1H-Indole-3-acetic acid,1-hydroxy-1-cyclohexen,"2,2'-Bipyridine","2,3-Dihydroxybutanoic acid","2,3'-Dipyridyl","2,4-bishydroxybutanoic acid",2-amino-6-methylaminohexanoic acid,2-aminobutyric acid,2-Butenedioic acid,2-hydroxypyridine,2-methyl-butyric acid,2-oxo-3-methyl-pentanoic acid,2-oxo-4-methylvaleric acid,2-Piperidinecarboxylic acid,"3,4-bishydroxybutanoic acid","3, 4 dehydroproline","3,6-Dioxa-2,7-disilaoctane, 2,2,4,7,7-pentamethyl-",3-amino-2-Piperidone,"3-Aminosalicylic acid, TMS",3-Hydroxybutyric acid,3-hydroxyoxyisovaleric acid,3-hydroxypyridine,3-methyl-2-oxo-butanoic acid,"3-Phosphoglyceric acid, TMS",4-Deoxypyridoxine,5-Hydroxy-tryptophan,5-Oxoproline,6-deoxy-mannose,"9,12-Octadecadienoic acid (Z,Z)-",à-Aminoadipic acid,á-Amino isobutyric acid,à-Hydroxyisobutyric acid,a-ketoglutarate,Alanine,Alloisoleucine,Aminomalonic acid,Anthranilic acid,Arabinofuranose,Arachidonic acid,Asparagine,Aspartate,Benzoic acid,Beta-alanine,Cadaverine,Caproic acid,Cholesterol,cis-3-Hexenyllactate,Citric acid,Creatine,Cyclohexanone,Cyclohexyloxy,Cysteine,Cystine,Decanoic acid,D-Fructose,d-Galactose,D-Glucuronic acid,Dodecanoic acid,D-Ribofuranose,d-Xylose,Elaidic acid,Erythrose,Galactonic acid,Glucopyranose,Glutamate,Gluticol,Glyceraldehyde,"Glyceric acid, TMS",Glycerol,Glycerolphosphate,Glycine,glycol,Glyoxylic acid,Heneicosanoic acid,Hexadecanoic acid,Hydroxycarbamic acid,Hypotaurine,Inositol,Isoleucine,Lactate,L-Homoserine,L-Leucine,L-Lysine,L-methionine,L-Ornithine,L-Threonic acid,L-Tryptophan,L-Tyrosine,Malate,Maleimide,Mannitol,Methylcysteine,Myo-Inositol,Myristic acid,Myristoleic acid,N-Acetyl glucosamine,N-acetyl-glycine,N-Acetylneuraminic acid,N-formyl-glycine,Nicotine,Nicotinic acid,"N,N-Dimethyl-2-isopropoxyethylamine",Nonanoic acid,Octadecanoic acid,Octanoic acid,Olic acid,Ornithine,Oxalic acid,Oxanilic acid,Palmitoleic acid,Parabanic acid,Phenylalanine,Picolinic acid,Proline,Pseudo uridine,Pyrrole-2-carboxylic acid,Pyruvate,Ribitol,sarcosine,Serine,Sorbose,Succinate,Threitol,Threonine,Urea,Uric acid,Xylitol
PN00506,98.68421052631578,100.0,3.947368421052632,94.73684210526316,5.263157894736842,0.0,1.3157894736842104,0.0,59.210526315789465,67.10526315789474,39.47368421052632,11.842105263157894,21.052631578947366,98.68421052631578,30.26315789473684,96.05263157894736,34.21052631578947,88.1578947368421,22.36842105263158,47.368421052631575,23.684210526315788,1.3157894736842104,28.947368421052637,19.73684210526316,23.684210526315788,5.263157894736842,53.94736842105263,14.473684210526317,42.10526315789473,88.1578947368421,36.84210526315789,13.157894736842104,69.73684210526315,28.947368421052637,68.42105263157895,1.3157894736842104,10.526315789473683,22.36842105263158,40.78947368421053,63.1578947368421,69.73684210526315,21.052631578947366,43.42105263157895,53.94736842105263,27.631578947368425,23.684210526315788,1.3157894736842104,17.105263157894736,7.894736842105263,39.47368421052632,72.36842105263158,76.31578947368422,1.3157894736842104,57.89473684210527,18.421052631578945,9.210526315789473,14.473684210526317,10.526315789473683,78.94736842105263,64.47368421052632,86.8421052631579,0.0,47.368421052631575,10.526315789473683,6.578947368421052,39.47368421052632,43.42105263157895,72.36842105263158,98.68421052631578,55.26315789473685,15.789473684210526,48.68421052631579,98.68421052631578,65.78947368421053,44.73684210526316,25.0,0.0,43.42105263157895,36.84210526315789,14.473684210526317,75.0,96.05263157894736,51.31578947368421,46.05263157894737,19.73684210526316,94.73684210526316,32.89473684210527,14.473684210526317,32.89473684210527,59.210526315789465,56.57894736842105,72.36842105263158,7.894736842105263,13.157894736842104,73.68421052631578,10.526315789473683,1.3157894736842104,84.21052631578947,67.10526315789474,17.105263157894736,18.421052631578945,36.84210526315789,14.473684210526317,23.684210526315788,10.526315789473683,19.73684210526316,44.73684210526316,98.68421052631578,10.526315789473683,27.631578947368425,19.73684210526316,52.63157894736842,11.842105263157894,86.8421052631579,14.473684210526317,38.15789473684211,30.26315789473684,17.105263157894736,69.73684210526315,73.68421052631578,52.63157894736842,55.26315789473685,1.3157894736842104,5.263157894736842,36.84210526315789,81.57894736842105,71.05263157894737,15.789473684210526
PN00032,98.68421052631578,98.68421052631578,0.0,96.05263157894736,0.0,0.0,0.0,0.0,25.0,78.94736842105263,57.89473684210527,6.578947368421052,26.31578947368421,94.73684210526316,18.421052631578945,96.05263157894736,5.263157894736842,81.57894736842105,26.31578947368421,31.57894736842105,30.26315789473684,0.0,57.89473684210527,68.42105263157895,10.526315789473683,19.73684210526316,36.84210526315789,77.63157894736842,82.89473684210526,61.8421052631579,92.10526315789474,67.10526315789474,39.47368421052632,26.31578947368421,18.421052631578945,23.684210526315788,0.0,88.1578947368421,52.63157894736842,50.0,51.31578947368421,76.31578947368422,98.68421052631578,22.36842105263158,27.631578947368425,85.52631578947368,21.052631578947366,60.526315789473685,11.842105263157894,47.368421052631575,17.105263157894736,63.1578947368421,0.0,50.0,81.57894736842105,28.947368421052637,51.31578947368421,82.89473684210526,43.42105263157895,65.78947368421053,23.684210526315788,77.63157894736842,19.73684210526316,17.105263157894736,86.8421052631579,84.21052631578947,5.263157894736842,40.78947368421053,19.73684210526316,73.68421052631578,44.73684210526316,14.473684210526317,9.210526315789473,48.68421052631579,44.73684210526316,53.94736842105263,46.05263157894737,73.68421052631578,21.052631578947366,32.89473684210527,42.10526315789473,97.36842105263158,75.0,89.47368421052632,56.57894736842105,40.78947368421053,31.57894736842105,92.10526315789474,51.31578947368421,68.42105263157895,81.57894736842105,48.68421052631579,0.0,38.15789473684211,78.94736842105263,34.21052631578947,0.0,65.78947368421053,89.47368421052632,53.94736842105263,72.36842105263158,10.526315789473683,67.10526315789474,73.68421052631578,77.63157894736842,0.0,43.42105263157895,28.947368421052637,55.26315789473685,71.05263157894737,68.42105263157895,86.8421052631579,82.89473684210526,50.0,80.26315789473685,84.21052631578947,48.68421052631579,68.42105263157895,72.36842105263158,47.368421052631575,68.42105263157895,7.894736842105263,5.263157894736842,53.94736842105263,34.21052631578947,26.31578947368421,32.89473684210527,6.578947368421052
PN01613,98.68421052631578,89.47368421052632,0.0,40.78947368421053,0.0,3.947368421052632,0.0,34.21052631578947,22.36842105263158,90.78947368421052,22.36842105263158,38.15789473684211,22.36842105263158,57.89473684210527,15.789473684210526,59.210526315789465,25.0,94.73684210526316,14.473684210526317,88.1578947368421,13.157894736842104,77.63157894736842,32.89473684210527,42.10526315789473,57.89473684210527,81.57894736842105,1.3157894736842104,42.10526315789473,94.73684210526316,96.05263157894736,6.578947368421052,48.68421052631579,78.94736842105263,18.421052631578945,28.947368421052637,1.3157894736842104,73.68421052631578,32.89473684210527,6.578947368421052,50.0,6.578947368421052,32.89473684210527,60.526315789473685,90.78947368421052,57.89473684210527,21.052631578947366,65.78947368421053,9.210526315789473,93.42105263157896,48.68421052631579,73.68421052631578,71.05263157894737,69.73684210526315,15.789473684210526,2.631578947368421,43.42105263157895,9.210526315789473,11.842105263157894,52.63157894736842,92.10526315789474,44.73684210526316,44.73684210526316,69.73684210526315,73.68421052631578,57.89473684210527,15.789473684210526,5.263157894736842,90.78947368421052,44.73684210526316,40.78947368421053,30.26315789473684,57.89473684210527,94.73684210526316,53.94736842105263,15.789473684210526,15.789473684210526,48.68421052631579,10.526315789473683,47.368421052631575,9.210526315789473,9.210526315789473,84.21052631578947,10.526315789473683,31.57894736842105,18.421052631578945,23.684210526315788,36.84210526315789,7.894736842105263,25.0,19.73684210526316,9.210526315789473,88.1578947368421,78.94736842105263,59.210526315789465,81.57894736842105,38.15789473684211,71.05263157894737,48.68421052631579,30.26315789473684,17.105263157894736,18.421052631578945,68.42105263157895,19.73684210526316,11.842105263157894,21.052631578947366,82.89473684210526,44.73684210526316,3.947368421052632,46.05263157894737,2.631578947368421,19.73684210526316,59.210526315789465,96.05263157894736,9.210526315789473,26.31578947368421,14.473684210526317,60.526315789473685,44.73684210526316,32.89473684210527,15.789473684210526,68.42105263157895,92.10526315789474,40.78947368421053,50.0,23.684210526315788,30.26315789473684,13.157894736842104,78.94736842105263
PN01461,98.68421052631578,98.68421052631578,2.631578947368421,94.73684210526316,5.263157894736842,2.631578947368421,2.631578947368421,0.0,75.0,96.05263157894736,31.57894736842105,18.421052631578945,23.684210526315788,84.21052631578947,34.21052631578947,52.63157894736842,10.526315789473683,97.36842105263158,73.68421052631578,97.36842105263158,68.42105263157895,13.157894736842104,47.368421052631575,48.68421052631579,59.210526315789465,61.8421052631579,38.15789473684211,17.105263157894736,98.68421052631578,98.68421052631578,44.73684210526316,13.157894736842104,38.15789473684211,11.842105263157894,30.26315789473684,63.1578947368421,0.0,36.84210526315789,11.842105263157894,68.42105263157895,5.263157894736842,97.36842105263158,81.57894736842105,98.68421052631578,46.05263157894737,100.0,57.89473684210527,17.105263157894736,1.3157894736842104,73.68421052631578,60.526315789473685,81.57894736842105,0.0,85.52631578947368,59.210526315789465,73.68421052631578,28.947368421052637,76.31578947368422,68.42105263157895,96.05263157894736,23.684210526315788,19.73684210526316,73.68421052631578,52.63157894736842,9.210526315789473,26.31578947368421,3.947368421052632,68.42105263157895,96.05263157894736,31.57894736842105,68.42105263157895,44.73684210526316,93.42105263157896,51.31578947368421,14.473684210526317,53.94736842105263,10.526315789473683,15.789473684210526,63.1578947368421,15.789473684210526,51.31578947368421,80.26315789473685,53.94736842105263,88.1578947368421,52.63157894736842,27.631578947368425,47.368421052631575,11.842105263157894,90.78947368421052,57.89473684210527,28.947368421052637,75.0,0.0,36.84210526315789,81.57894736842105,53.94736842105263,6.578947368421052,60.526315789473685,92.10526315789474,50.0,6.578947368421052,38.15789473684211,67.10526315789474,21.052631578947366,53.94736842105263,1.3157894736842104,56.57894736842105,23.684210526315788,68.42105263157895,57.89473684210527,92.10526315789474,31.57894736842105,76.31578947368422,7.894736842105263,48.68421052631579,86.8421052631579,5.263157894736842,40.78947368421053,80.26315789473685,25.0,48.68421052631579,68.42105263157895,15.789473684210526,14.473684210526317,73.68421052631578,40.78947368421053,50.0,100.0
PN00516,98.68421052631578,97.36842105263158,2.631578947368421,97.36842105263158,1.3157894736842104,0.0,0.0,0.0,93.42105263157896,77.63157894736842,10.526315789473683,27.631578947368425,23.684210526315788,82.89473684210526,36.84210526315789,76.31578947368422,19.73684210526316,72.36842105263158,80.26315789473685,17.105263157894736,77.63157894736842,7.894736842105263,36.84210526315789,18.421052631578945,52.63157894736842,18.421052631578945,43.42105263157895,21.052631578947366,42.10526315789473,65.78947368421053,98.68421052631578,85.52631578947368,30.26315789473684,28.947368421052637,21.052631578947366,28.947368421052637,27.631578947368425,38.15789473684211,84.21052631578947,89.47368421052632,36.84210526315789,90.78947368421052,67.10526315789474,71.05263157894737,14.473684210526317,13.157894736842104,11.842105263157894,31.57894736842105,93.42105263157896,68.42105263157895,47.368421052631575,44.73684210526316,6.578947368421052,30.26315789473684,59.210526315789465,34.21052631578947,44.73684210526316,60.526315789473685,88.1578947368421,47.368421052631575,22.36842105263158,3.947368421052632,25.0,47.368421052631575,9.210526315789473,21.052631578947366,48.68421052631579,97.36842105263158,85.52631578947368,40.78947368421053,39.47368421052632,26.31578947368421,69.73684210526315,22.36842105263158,31.57894736842105,73.68421052631578,3.947368421052632,92.10526315789474,23.684210526315788,38.15789473684211,75.0,84.21052631578947,13.157894736842104,84.21052631578947,72.36842105263158,44.73684210526316,67.10526315789474,10.526315789473683,85.52631578947368,47.368421052631575,55.26315789473685,69.73684210526315,26.31578947368421,17.105263157894736,65.78947368421053,19.73684210526316,0.0,56.57894736842105,13.157894736842104,61.8421052631579,65.78947368421053,50.0,64.47368421052632,10.526315789473683,44.73684210526316,9.210526315789473,35.526315789473685,73.68421052631578,63.1578947368421,52.63157894736842,98.68421052631578,15.789473684210526,73.68421052631578,86.8421052631579,43.42105263157895,67.10526315789474,31.57894736842105,31.57894736842105,71.05263157894737,27.631578947368425,85.52631578947368,26.31578947368421,26.31578947368421,21.052631578947366,96.05263157894736,36.84210526315789,76.31578947368422,3.947368421052632
PN00528,98.68421052631578,100.0,5.263157894736842,96.05263157894736,2.631578947368421,0.0,2.631578947368421,0.0,80.26315789473685,73.68421052631578,61.8421052631579,6.578947368421052,23.684210526315788,98.68421052631578,48.68421052631579,71.05263157894737,5.263157894736842,50.0,56.57894736842105,10.526315789473683,77.63157894736842,42.10526315789473,7.894736842105263,17.105263157894736,48.68421052631579,32.89473684210527,2.631578947368421,26.31578947368421,59.210526315789465,90.78947368421052,89.47368421052632,50.0,38.15789473684211,55.26315789473685,52.63157894736842,0.0,52.63157894736842,94.73684210526316,50.0,82.89473684210526,42.10526315789473,90.78947368421052,7.894736842105263,42.10526315789473,86.8421052631579,96.05263157894736,89.47368421052632,31.57894736842105,92.10526315789474,67.10526315789474,22.36842105263158,15.789473684210526,61.8421052631579,46.05263157894737,93.42105263157896,7.894736842105263,21.052631578947366,44.73684210526316,28.947368421052637,63.1578947368421,44.73684210526316,25.0,53.94736842105263,51.31578947368421,34.21052631578947,22.36842105263158,23.684210526315788,97.36842105263158,67.10526315789474,28.947368421052637,15.789473684210526,26.31578947368421,90.78947368421052,73.68421052631578,22.36842105263158,15.789473684210526,71.05263157894737,71.05263157894737,46.05263157894737,11.842105263157894,21.052631578947366,97.36842105263158,44.73684210526316,97.36842105263158,15.789473684210526,51.31578947368421,85.52631578947368,53.94736842105263,14.473684210526317,82.89473684210526,55.26315789473685,52.63157894736842,98.68421052631578,22.36842105263158,76.31578947368422,60.526315789473685,46.05263157894737,44.73684210526316,94.73684210526316,15.789473684210526,18.421052631578945,39.47368421052632,15.789473684210526,36.84210526315789,96.05263157894736,52.63157894736842,43.42105263157895,59.210526315789465,19.73684210526316,100.0,43.42105263157895,55.26315789473685,68.42105263157895,34.21052631578947,89.47368421052632,38.15789473684211,3.947368421052632,77.63157894736842,57.89473684210527,64.47368421052632,42.10526315789473,5.263157894736842,52.63157894736842,76.31578947368422,21.052631578947366,43.42105263157895,51.31578947368421,73.68421052631578
PN00746,68.42105263157895,97.36842105263158,0.0,94.73684210526316,0.0,0.0,2.631578947368421,0.0,60.526315789473685,39.47368421052632,31.57894736842105,42.10526315789473,26.31578947368421,94.73684210526316,15.789473684210526,84.21052631578947,25.0,48.68421052631579,0.0,11.842105263157894,10.526315789473683,25.0,59.210526315789465,18.421052631578945,5.263157894736842,26.31578947368421,23.684210526315788,10.526315789473683,38.15789473684211,44.73684210526316,59.210526315789465,36.84210526315789,88.1578947368421,93.42105263157896,43.42105263157895,1.3157894736842104,10.526315789473683,77.63157894736842,21.052631578947366,75.0,11.842105263157894,93.42105263157896,61.8421052631579,39.47368421052632,42.10526315789473,63.1578947368421,36.84210526315789,97.36842105263158,50.0,53.94736842105263,82.89473684210526,19.73684210526316,7.894736842105263,11.842105263157894,80.26315789473685,18.421052631578945,31.57894736842105,61.8421052631579,92.10526315789474,57.89473684210527,46.05263157894737,39.47368421052632,22.36842105263158,28.947368421052637,36.84210526315789,31.57894736842105,32.89473684210527,13.157894736842104,55.26315789473685,55.26315789473685,13.157894736842104,28.947368421052637,93.42105263157896,51.31578947368421,40.78947368421053,60.526315789473685,5.263157894736842,56.57894736842105,36.84210526315789,32.89473684210527,14.473684210526317,59.210526315789465,59.210526315789465,90.78947368421052,57.89473684210527,75.0,85.52631578947368,56.57894736842105,78.94736842105263,31.57894736842105,63.1578947368421,88.1578947368421,10.526315789473683,30.26315789473684,73.68421052631578,36.84210526315789,14.473684210526317,60.526315789473685,72.36842105263158,56.57894736842105,51.31578947368421,50.0,65.78947368421053,35.526315789473685,76.31578947368422,15.789473684210526,56.57894736842105,73.68421052631578,36.84210526315789,42.10526315789473,69.73684210526315,40.78947368421053,48.68421052631579,48.68421052631579,75.0,81.57894736842105,40.78947368421053,65.78947368421053,19.73684210526316,73.68421052631578,10.526315789473683,68.42105263157895,2.631578947368421,73.68421052631578,80.26315789473685,40.78947368421053,50.0,22.36842105263158
PN00529,92.10526315789474,98.68421052631578,0.0,98.68421052631578,1.3157894736842104,0.0,2.631578947368421,6.578947368421052,98.68421052631578,64.47368421052632,30.26315789473684,46.05263157894737,22.36842105263158,88.1578947368421,15.789473684210526,67.10526315789474,5.263157894736842,46.05263157894737,14.473684210526317,5.263157894736842,22.36842105263158,1.3157894736842104,65.78947368421053,68.42105263157895,17.105263157894736,5.263157894736842,81.57894736842105,60.526315789473685,43.42105263157895,50.0,86.8421052631579,82.89473684210526,63.1578947368421,28.947368421052637,36.84210526315789,59.210526315789465,0.0,78.94736842105263,64.47368421052632,81.57894736842105,19.73684210526316,90.78947368421052,63.1578947368421,26.31578947368421,10.526315789473683,96.05263157894736,48.68421052631579,36.84210526315789,56.57894736842105,63.1578947368421,27.631578947368425,14.473684210526317,0.0,40.78947368421053,35.526315789473685,55.26315789473685,71.05263157894737,64.47368421052632,11.842105263157894,46.05263157894737,27.631578947368425,26.31578947368421,7.894736842105263,40.78947368421053,11.842105263157894,26.31578947368421,81.57894736842105,13.157894736842104,9.210526315789473,6.578947368421052,55.26315789473685,19.73684210526316,48.68421052631579,0.0,19.73684210526316,60.526315789473685,10.526315789473683,76.31578947368422,25.0,56.57894736842105,36.84210526315789,64.47368421052632,25.0,56.57894736842105,59.210526315789465,44.73684210526316,31.57894736842105,61.8421052631579,94.73684210526316,47.368421052631575,72.36842105263158,40.78947368421053,0.0,18.421052631578945,76.31578947368422,9.210526315789473,0.0,42.10526315789473,15.789473684210526,56.57894736842105,93.42105263157896,30.26315789473684,52.63157894736842,43.42105263157895,36.84210526315789,1.3157894736842104,17.105263157894736,86.8421052631579,27.631578947368425,35.526315789473685,86.8421052631579,21.052631578947366,18.421052631578945,50.0,27.631578947368425,52.63157894736842,15.789473684210526,53.94736842105263,64.47368421052632,25.0,85.52631578947368,56.57894736842105,15.789473684210526,69.73684210526315,94.73684210526316,26.31578947368421,60.526315789473685,6.578947368421052
PN03439,88.1578947368421,97.36842105263158,2.631578947368421,100.0,1.3157894736842104,1.3157894736842104,2.631578947368421,6.578947368421052,80.26315789473685,86.8421052631579,22.36842105263158,22.36842105263158,26.31578947368421,85.52631578947368,18.421052631578945,92.10526315789474,27.631578947368425,93.42105263157896,10.526315789473683,76.31578947368422,1.3157894736842104,35.526315789473685,59.210526315789465,23.684210526315788,15.789473684210526,46.05263157894737,84.21052631578947,6.578947368421052,94.73684210526316,94.73684210526316,10.526315789473683,28.947368421052637,68.42105263157895,3.947368421052632,32.89473684210527,14.473684210526317,84.21052631578947,88.1578947368421,14.473684210526317,30.26315789473684,9.210526315789473,34.21052631578947,47.368421052631575,90.78947368421052,13.157894736842104,36.84210526315789,17.105263157894736,14.473684210526317,46.05263157894737,50.0,36.84210526315789,53.94736842105263,67.10526315789474,86.8421052631579,44.73684210526316,28.947368421052637,44.73684210526316,18.421052631578945,10.526315789473683,92.10526315789474,43.42105263157895,34.21052631578947,57.89473684210527,97.36842105263158,75.0,55.26315789473685,13.157894736842104,100.0,61.8421052631579,78.94736842105263,96.05263157894736,44.73684210526316,19.73684210526316,28.947368421052637,13.157894736842104,46.05263157894737,65.78947368421053,36.84210526315789,21.052631578947366,42.10526315789473,60.526315789473685,84.21052631578947,38.15789473684211,11.842105263157894,40.78947368421053,27.631578947368425,32.89473684210527,78.94736842105263,19.73684210526316,48.68421052631579,63.1578947368421,27.631578947368425,65.78947368421053,78.94736842105263,81.57894736842105,3.947368421052632,84.21052631578947,42.10526315789473,67.10526315789474,42.10526315789473,17.105263157894736,42.10526315789473,48.68421052631579,61.8421052631579,25.0,86.8421052631579,21.052631578947366,43.42105263157895,31.57894736842105,1.3157894736842104,13.157894736842104,57.89473684210527,22.36842105263158,35.526315789473685,32.89473684210527,2.631578947368421,32.89473684210527,46.05263157894737,92.10526315789474,10.526315789473683,27.631578947368425,19.73684210526316,90.78947368421052,76.31578947368422,25.0,14.473684210526317,57.89473684210527,77.63157894736842
PN00867,98.68421052631578,98.68421052631578,15.789473684210526,96.05263157894736,2.631578947368421,0.0,2.631578947368421,0.0,98.68421052631578,96.05263157894736,61.8421052631579,38.15789473684211,34.21052631578947,94.73684210526316,65.78947368421053,82.89473684210526,52.63157894736842,68.42105263157895,14.473684210526317,47.368421052631575,10.526315789473683,26.31578947368421,43.42105263157895,53.94736842105263,35.526315789473685,73.68421052631578,27.631578947368425,85.52631578947368,89.47368421052632,76.31578947368422,86.8421052631579,78.94736842105263,89.47368421052632,18.421052631578945,73.68421052631578,19.73684210526316,9.210526315789473,88.1578947368421,90.78947368421052,68.42105263157895,69.73684210526315,90.78947368421052,56.57894736842105,86.8421052631579,69.73684210526315,93.42105263157896,65.78947368421053,43.42105263157895,76.31578947368422,82.89473684210526,77.63157894736842,48.68421052631579,6.578947368421052,82.89473684210526,71.05263157894737,31.57894736842105,97.36842105263158,44.73684210526316,89.47368421052632,76.31578947368422,73.68421052631578,52.63157894736842,89.47368421052632,28.947368421052637,65.78947368421053,90.78947368421052,92.10526315789474,32.89473684210527,9.210526315789473,88.1578947368421,61.8421052631579,56.57894736842105,43.42105263157895,77.63157894736842,85.52631578947368,86.8421052631579,19.73684210526316,86.8421052631579,68.42105263157895,97.36842105263158,71.05263157894737,64.47368421052632,78.94736842105263,65.78947368421053,86.8421052631579,94.73684210526316,78.94736842105263,96.05263157894736,51.31578947368421,67.10526315789474,92.10526315789474,90.78947368421052,17.105263157894736,98.68421052631578,82.89473684210526,67.10526315789474,2.631578947368421,100.0,67.10526315789474,85.52631578947368,78.94736842105263,63.1578947368421,90.78947368421052,100.0,71.05263157894737,6.578947368421052,63.1578947368421,89.47368421052632,50.0,90.78947368421052,86.8421052631579,14.473684210526317,28.947368421052637,96.05263157894736,63.1578947368421,76.31578947368422,51.31578947368421,68.42105263157895,61.8421052631579,90.78947368421052,86.8421052631579,52.63157894736842,36.84210526315789,65.78947368421053,44.73684210526316,93.42105263157896,14.473684210526317,10.526315789473683
