symbol,atomic_radius,boiling_point,dipole_polarizability,melting_point,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,vdw_radius_uff,vdw_radius_mm3,en_ghosh,atomic_weight,atomic_radius_rahm,covalent_radius_pyykko_double,dipole_polarizability_unc,pettifor_number,glawe_number
Li,145.0,1118.15,164.1125,553.69,182.0,128.0,133.0,245.1,254.99999999999997,0.105093,6.94,220.00000000000003,124.0,0.0005,12.0,12.0
Be,105.0,3243.0,37.74,1551.0,153.0,96.0,102.0,274.5,223.0,0.144986,9.0121831,219.0,90.0,0.03,77.0,77.0
B,85.0,3931.0,20.5,2573.0,192.0,84.0,85.0,408.3,215.0,0.184886,10.81,204.99999999999997,78.0,0.1,86.0,86.0
Na,180.0,1156.1,162.7,370.96,227.0,166.0,155.0,298.3,270.0,0.093214,22.98976928,225.0,160.0,0.5,11.0,11.0
Mg,150.0,1363.0,71.2,922.0,173.0,141.0,139.0,302.1,243.00000000000003,0.121644,24.305,240.0,132.0,0.4,73.0,73.0
Al,125.0,2740.0,57.8,933.5,184.0,121.0,126.0,449.9,236.0,0.150078,26.9815385,239.0,113.0,1.0,80.0,78.0
Si,110.0,2628.0,37.3,1683.0,210.0,111.00000000000001,115.99999999999999,429.5,229.0,0.178503,28.085,231.99999999999997,107.0,0.7,85.0,85.0
K,220.0,1047.0,289.7,336.8,275.0,202.99999999999997,196.0,381.2,309.0,0.0981896,39.0983,234.0,193.0,0.3,10.0,10.0
Ca,180.0,1757.0,160.8,1112.0,231.0,176.0,171.0,339.9,281.0,0.1154119,40.078,270.0,147.0,4.0,16.0,16.0
Sc,160.0,3104.0,97.0,1814.0,215.0,170.0,148.0,329.5,261.0,0.11938330000000001,44.955908,263.0,116.0,10.0,20.0,48.0
Ti,140.0,3560.0,100.0,1933.0,211.0,160.0,136.0,317.5,239.0,0.12336369999999999,47.867,257.0,117.0,10.0,51.0,51.0
V,135.0,3650.0,87.0,2160.0,206.99999999999997,153.0,134.0,314.4,229.0,0.12733440000000001,50.9415,252.0,112.0,10.0,54.0,54.0
Cr,140.0,2945.0,83.0,2130.0,206.0,139.0,122.0,302.3,225.0,0.13130529999999999,51.9961,233.0,111.0,12.0,57.0,55.0
Mn,140.0,2235.0,68.0,1517.0,204.99999999999997,150.0,119.0,296.1,224.00000000000003,0.1352844,54.938044,242.0,105.0,9.0,60.0,72.0
Fe,140.0,3023.0,62.0,1808.0,204.0,142.0,115.99999999999999,291.2,223.0,0.13925320000000002,55.845,237.0,109.0,4.0,61.0,71.0
Co,135.0,3143.0,55.0,1768.0,200.0,138.0,111.00000000000001,287.2,223.0,0.14323629999999998,58.933194,233.0,103.0,4.0,64.0,70.0
Ni,135.0,3005.0,49.0,1726.0,197.0,124.0,110.00000000000001,283.4,222.00000000000003,0.1472068,58.6934,229.0,101.0,3.0,67.0,69.0
Cu,135.0,2840.0,46.5,1356.6,196.0,132.0,112.00000000000001,349.5,225.99999999999997,0.15117160000000002,63.546,217.0,115.0,0.5,72.0,68.0
Zn,135.0,1180.0,38.67,692.73,200.99999999999997,122.0,118.0,276.3,229.0,0.15515179999999998,65.38,222.00000000000003,120.0,0.3,76.0,74.0
Ga,130.0,2676.0,50.0,302.93,187.0,122.0,124.0,438.3,246.0,0.17237729999999998,69.723,233.0,117.0,3.0,81.0,79.0
Ge,125.0,3103.0,40.0,1210.6,211.0,120.0,121.0,428.0,244.0,0.1895892,72.63,234.0,111.0,1.0,84.0,84.0
As,115.0,876.0,30.0,1090.0,185.0,119.0,121.0,423.00000000000006,236.0,0.2068208,74.921595,231.0,114.0,1.0,89.0,90.0
Rb,235.0,961.0,319.8,312.2,303.0,220.00000000000003,210.0,411.4,325.0,0.10468599999999999,85.4678,240.0,202.0,0.3,9.0,9.0
