,id,natoms,Formula,cell,xyz,A,B,X,spacegroup,bandgap,dir_bandgap,energy_per_atom,e_above_hull
2616,144871854,5,Gd1O3Pu1,"[[4.30588664, 0.0, 0.0], [0.0, 4.30588664, 0.0], [0.0, 0.0, 4.30588664]]","[[64.0, 0.0, 0.0, 0.0], [8.0, 2.1529472814157087, 2.1529472814157087, 0.0], [8.0, 2.1529472814157087, 0.0, 2.1529472814157087], [8.0, 0.0, 2.1529472814157087, 2.1529472814157087], [94.0, 2.1529472814157087, 2.1529472814157087, 2.1529472814157087]]",Gd,Pu,O,221,0.0,False,-10.821532702013643,1.0955992913168942
3330,145221604,5,Gd1O3Ta1,"[[4.03956823, 0.0, 0.0], [0.0, 4.03956823, 0.0], [0.0, 0.0, 4.03956823]]","[[64.0, 0.0, 0.0, 0.0], [8.0, 2.0197876294243606, 2.0197876294243606, 0.0], [8.0, 2.0197876294243606, 0.0, 2.0197876294243606], [8.0, 0.0, 2.0197876294243606, 2.0197876294243606], [73.0, 2.0197876294243606, 2.0197876294243606, 2.0197876294243606]]",Gd,Ta,O,221,0.0,False,-10.727968267903451,0.439900548136336
2654,144878592,5,Gd1Np1O3,"[[4.32934466, 0.0, 0.0], [0.0, 4.32934466, 0.0], [0.0, 0.0, 4.32934466]]","[[64.0, 0.0, 0.0, 0.0], [93.0, 2.1646693860456314, 2.1646693860456314, 2.1646693860456314], [8.0, 2.1646693860456314, 2.1646693860456314, 0.0], [8.0, 2.1646693860456314, 0.0, 2.1646693860456314], [8.0, 0.0, 2.1646693860456314, 2.1646693860456314]]",Gd,Np,O,221,0.0,False,-10.670038386882077,0.8345999036984431
2229,144827209,5,Gd1O3Zr1,"[[4.14435089, 0.0, 0.0], [0.0, 4.14435089, 0.0], [0.0, 0.0, 4.14435089]]","[[64.0, 0.0, 0.0, 0.0], [8.0, 2.0721794650203633, 2.0721794650203633, 0.0], [8.0, 2.0721794650203633, 0.0, 2.0721794650203633], [8.0, 0.0, 2.0721794650203633, 2.0721794650203633], [40.0, 2.0721794650203633, 2.0721794650203633, 2.0721794650203633]]",Gd,Zr,O,221,0.0,False,-10.434624424476322,0.3611741976816862
3353,145227592,5,Gd1O3Pa1,"[[4.42477638, 0.0, 0.0], [0.0, 4.42477638, 0.0], [0.0, 0.0, 4.42477638]]","[[64.0, 0.0, 0.0, 0.0], [8.0, 2.2123861988506293, 2.2123861988506293, 0.0], [8.0, 2.2123861988506293, 0.0, 2.2123861988506293], [8.0, 0.0, 2.2123861988506293, 2.2123861988506293], [91.0, 2.2123861988506293, 2.2123861988506293, 2.2123861988506293]]",Gd,Pa,O,221,0.0,False,-10.375579889358324,0.6178167822221674
2579,144869794,5,Gd1Nb1O3,"[[4.06915148, 0.0, 0.0], [0.0, 4.06915148, 0.0], [0.0, 0.0, 4.06915148]]","[[64.0, 0.0, 0.0, 0.0], [41.0, 2.0345721998382125, 2.0345721998382125, 2.0345721998382125], [8.0, 2.0345721998382125, 2.0345721998382125, 0.0], [8.0, 2.0345721998382125, 0.0, 2.0345721998382125], [8.0, 0.0, 2.0345721998382125, 2.0345721998382125]]",Gd,Nb,O,221,0.0,False,-10.303890363144257,0.4121157621817293
2847,144976562,5,Eu1O3U1,"[[4.39842324, 0.0, 0.0], [0.0, 4.39842324, 0.0], [0.0, 0.0, 4.39842324]]","[[63.0, 0.0, 0.0, 0.0], [8.0, 2.1992131154639014, 2.1992131154639014, 0.0], [8.0, 2.1992131154639014, 0.0, 2.1992131154639014], [8.0, 0.0, 2.1992131154639014, 2.1992131154639014], [92.0, 2.1992131154639014, 2.1992131154639014, 2.1992131154639014]]",Eu,U,O,221,0.0,False,-10.145219843390649,0.2391826781938597
2617,144873400,5,Gd1O3Re1,"[[3.98649943, 0.0, 0.0], [0.0, 3.98649943, 0.0], [0.0, 0.0, 3.98649943]]","[[64.0, 0.0, 0.0, 0.0], [8.0, 1.9932507116248575, 1.9932507116248575, 0.0], [8.0, 1.9932507116248575, 0.0, 1.9932507116248575], [8.0, 0.0, 1.9932507116248575, 1.9932507116248575], [75.0, 1.9932507116248575, 1.9932507116248575, 1.9932507116248575]]",Gd,Re,O,221,0.0,False,-10.049803593119938,0.1664253108217028
2984,145050728,5,Gd1O3Th1,"[[4.55206, 0.0, 0.0], [0.0, 4.55206, 0.0], [0.0, 0.0, 4.55206]]","[[64.0, 0.0, 0.0, 0.0], [8.0, 2.27603, 2.27603, 0.0], [8.0, 2.27603, 0.0, 2.27603], [8.0, 0.0, 2.27603, 2.27603], [90.0, 2.27603, 2.27603, 2.27603]]",Gd,Th,O,221,0.0,False,-10.008070733502525,0.7322068139948446
3481,146057633,5,Gd1O3Tc1,"[[3.938178, 0.0, 0.0], [0.0, 3.938178, 0.0], [0.0, 0.0, 3.938178]]","[[64.0, 0.0, 0.0, 0.0], [8.0, 1.9690899845445002, 1.9690899845445002, 0.0], [8.0, 1.9690899845445002, 0.0, 1.9690899845445002], [8.0, 0.0, 1.9690899845445002, 1.9690899845445002], [43.0, 1.9690899845445002, 1.9690899845445002, 1.9690899845445002]]",Gd,Tc,O,221,0.0,False,-9.846899037532111,0.0
