SMILES,chiral,mol_weight,polarizability,dipole
CCC(C)O,1,74.12,8.81,1.64667103952
C1COCCO1,0,88.11,8.7,1.47715174125
CCCCCCCCO,0,130.23,16.51,1.59612240394
CCCO,0,60.1,6.9,1.44188152786
CC(C)CC(C)(C)C,0,114.23,15.53,0.115803329188
CC(=O)C,0,58.08,6.49,2.91389982687
c1ccc(cc1)Br,0,157.01,13.25,1.64978243682
C(Cl)(Cl)(Cl)Cl,0,153.82,10.61,0.000316142053321
c1ccc(cc1)Cl,0,112.56,12.46,1.63484802963
C(Cl)(Cl)Cl,0,119.38,8.6,1.02075707949
C1CCC(=O)CC1,0,98.14,11.13,3.32714473324
C1CCCCCCC1,0,112.21,14.45,0.0806619538493
CCCCCCCCCCO,0,158.28,20.3,1.5477952206
CCCCCCCCCC,0,142.28,19.37,0.0191492112627
C(CCl)Cl,0,98.96,8.27,2.62038307297
C(Cl)Cl,0,84.93,6.48,1.57659783398
CCCCCCCCCCCC,0,170.33,23.14,0.0432843304997
CCO,0,46.07,5.1,1.65475835768
c1ccc(cc1)F,0,96.1,10.22,1.45091368152
CCCCCCCO,0,116.2,14.34,1.43787031046
CCCCCCC,0,100.2,13.7,0.055517720661
CCCCCCCCCCCCCCCC,0,226.44,,0.0189448851587
CCCCCC,0,86.18,11.74,0.119825651029
CCCCCCO,0,102.17,12.44,1.33562913056
c1ccc(cc1)I,0,204.01,15.09,1.62088551203
CC(C)CO,0,74.12,8.8,1.64166939846
CC(C)O,0,60.1,7.0,1.58388609519
Cc1cccc(c1)C,0,106.17,14.4,0.362293944109
CO,0,32.04,3.16,1.6045836991
CC1CCCCC1,0,98.19,12.64,0.0748779848021
CCCCO,0,74.12,8.75,1.51985884447
C/C(=N/C)/O,0,73.09,8.04,2.60307447728
CCCCCCCCC,0,128.26,17.65,0.0804868859982
CCCCCCCCCO,0,144.25,17.98,1.56164422386
Cc1ccccc1C,0,106.17,14.24,0.698993628933
CCCCCCCC,0,114.23,15.66,0.106515624993
Cc1ccc(cc1)C,0,106.17,14.46,0.058186298846
CCCCC,0,72.15,9.94,0.0812295970088
CCCCCO,0,88.15,10.66,1.55705185362
CC(C)(C)O,0,74.12,8.85,1.5516270006
C1CCOC1,0,72.11,7.92,1.78540797301
Cc1ccccc1,0,92.14,12.23,0.422223764713
CCCCCCCCCCC,0,156.31,21.37,0.142179045188
CCCCCCCCCCCO,0,172.31,22.17,1.56310833634
CC(CO)O,1,76.09,7.65,0.366302605193
CC(=O)O,0,60.05,5.22,4.25986661414
c1ccc(cc1)C#N,0,103.12,12.92,4.63387051689
CCOCC,0,74.12,9.06,1.01353336755
C(I)I,0,267.84,11.11,1.14777590334
CN(C)C=O,0,73.09,7.84,4.17612723906
CC(=O)N(C)C,0,87.12,9.69,3.98171204715
C/N=C/O,0,59.07,6.3,0.846322104625
CN1CCCC1=O,0,99.13,10.74,4.08155280893
CC1COC(=O)O1,1,102.09,8.84,5.48959096223
CCCCOP(=O)(OCCCC)OCCCC,0,266.31,28.77,1.27145990528
c1ccc(cc1)N,0,93.13,12.02,1.99734973855
CC(C)CCO,0,88.15,10.69,1.5777786641
CCOC(=O)C,0,88.11,8.98,1.79704007907
CCCCOCCO,0,118.17,13.34,0.387769781899
CCOCCO,0,90.12,9.62,2.41128438791
CCCCC(CC)CO,1,130.23,16.23,1.21670468103
CCC(=O)C,0,72.11,8.27,2.95960892401
CCCCOC(=O)C,0,116.16,12.61,1.86078419695
CCCCOCCCC,0,130.23,16.81,0.973609920041
CCCCCCCCCCCCO,0,186.33,,1.5240271752
CCc1ccccc1,0,106.17,14.22,0.41946678328
CC(C)COC(=O)C,0,116.16,12.75,1.74156184675
COCCO,0,76.09,7.81,1.89982940438
CC(=O)OC,0,74.08,7.08,1.85457500742
