Solvent,Solute,logK,deltaG_solv
C(Cl)(Cl)(Cl)Cl,c1ccc(cc1)CO,4.83,-0.28574
c1ccc(cc1)Br,CCCO,2.76,-0.16328
CC(C)CC(=O)C,CC(Cl)(Cl)Cl,3.134,-0.18541
CC(C)(C)OC,C(C(F)(F)F)(Cl)Br,3.44,-0.20351
CC(=O)C,CC(C)(C)Cl,2.54,-0.15026
CC(C)CC(C)(C)C,CC(=C)C=C,2.317,-0.13707
CCCC#N,CC(C)CC(C)C,2.476,-0.14648
CCO,C(Cl)Cl,2.462,-0.14565
C(Cl)(Cl)(Cl)Cl,CC=C,1.35,-0.07987
CC(C)CO,C,-0.29,0.01716
c1ccc(cc1)N,CCCCO,3.947,-0.2335
C/N=C/O,Cc1ccccc1,3.18,-0.18813
CCCCCCCCO,CCCCCCC=C,3.35,-0.19818
CC1COC(=O)O1,CC=C(C)C,1.54,-0.09111
CCc1ccccc1,CCCO,2.701,-0.15979
CCOCC,Cc1ccccc1,3.72,-0.22007
CCc1ccccc1,CCC(C)O,2.988,-0.17677
COCCO,c1ccc(cc1)Br,4.211,-0.24912
CC(=O)N(C)C,CC(C)(C)Br,2.58,-0.15263
CN(C)C=O,CCCCC#C,2.88,-0.17038
CCCCCCCC,CC(C)(C)CCO,3.556,-0.21037
CCC(=O)C,CN(C)C=O,4.7,-0.27805
COCCO,C1CCC=CC1,2.557,-0.15127
c1ccc(cc1)N,CO,2.828,-0.1673
CCCCC,c1ccccc1,2.94,-0.17393
CCCCCCCCCC,C1CCCCC1,2.99,-0.17689
CCCCCCCC,CCC=C,1.796,-0.10625
CCO,CN(C)C=O,4.973,-0.2942
CC(C)CC(C)(C)C,CSC,2.128,-0.12589
C1CCOC1,C[N+](=O)[O-],3.67,-0.21711
CC(=O)O,C,-0.38,0.02248
CCCCCCCCO,CC(C)(C)O,3.5,-0.20706
CCCCCCCCCCCC,CCCC(=O)CC(=O)CC,4.77,-0.28219
C(I)I,C,-1.07,0.0633
C(Cl)(Cl)(Cl)Cl,C(Cl)Br,2.872,-0.16991
C(Cl)(Cl)(Cl)Cl,CCCI,3.64,-0.21534
CCCCCC,CCCCCC(=O)OC,4.139,-0.24486
CC(C)(C)O,CCCCCO,5.1,-0.30171
CCO,CCCC(C)C,2.16,-0.12778
C(Cl)Cl,CCOCC,2.868,-0.16967
CC(C)O,C/C=C/C,1.55,-0.0917
CC(C)CC(C)(C)C,CCCC=O,2.529,-0.14961
CC1COC(=O)O1,O,3.06,-0.18103
CCCCCl,CC(Cl)(Cl)Cl,3.174,-0.18777
Cc1ccccc1,CI,2.573,-0.15222
CCCCCCCCCCCCCCCC,Cc1cccc(n1)C,3.86,-0.22836
C(Cl)(Cl)Cl,CC(C)CC(=O)O,4.66,-0.27568
CCCCCCC,CC(=O)C(C)(C)C,3.152,-0.18647
CCCCCCCCCCCCCCCC,CCCCCCCCO,4.619,-0.27326
CCCO,N#N,-0.88,0.05206
CCCCCO,CCCC=O,2.71,-0.16032
CCOC(=O)C,C1COCCO1,3.67,-0.21711
CCCCCl,C(CCl)Cl,3.242,-0.19179
CO,CCCCCCc1ccccc1,5.23,-0.3094
CCC(C)(C)O,CCC=C,1.54,-0.09111
CCO,CO,3.4,-0.20114
c1ccc(cc1)Cl,CCCC=C,2.21,-0.13074
C1COCCO1,C1CC1,1.42,-0.08401
COCCO,CC1CCCC1,2.195,-0.12985
CC(CO)O,Cc1ccccc1C,3.102,-0.18351
C(Cl)(Cl)(Cl)Cl,C1CCC=CC1,3.36,-0.19878
Cc1cccc(c1)C,[Kr],-0.142,0.0084
C/C(=N/C)/O,CC(C)OC(C)C,2.38,-0.1408
c1ccc(cc1)[N+](=O)[O-],CCCCCCCC,3.074,-0.18186
C/C(=N/C)/O,c1ccoc1,2.37,-0.14021
C1COCCO1,CCC(C)O,4.06,-0.24019
CC(C)O,CCCl,1.81,-0.10708
CO,C=C,0.41,-0.02426
CCCOCCC,CO,2.156,-0.12755
C(CCl)Cl,C(=O)=O,0.57,-0.03372
CCCCCCCCCCCCCCCC,C[Si](C)(C)C,2.14,-0.1266
C(Cl)(Cl)Cl,c1cc(ccc1O)Br,6.3,-0.3727
C(Cl)(Cl)(Cl)Cl,C[N+](=O)[O-],2.55,-0.15086
CC(C)CC(C)(C)C,O=O,-0.373,0.02207
Cc1ccccc1,c1ccncc1,3.73,-0.22066
CCCCCCO,[He],-1.668,0.09868
Cc1ccc(cc1)C,CCCCCCCCCC,4.897,-0.2897
CCCO,CCC(C)CCC(C)C,3.4,-0.20114
CCO,CCCC,1.4,-0.08282
c1ccc(cc1)N,C(Cl)(Cl)Cl,2.842,-0.16813
